code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0930128J,Lycée professionnel Denis Papin,lycée professionnel,public,Créteil,93,La Courneuve,93027,93120,34 avenue Michelet,48.92887989557298,2.3863947991490666
0940171A,Établissement régional d'enseignement adapté Stendhal,établissement régional d’enseignement adapté,public,Créteil,94,Bonneuil-sur-Marne,94011,94380,6 rue Désiré Dautier,48.774946732869964,2.4870864032837714
0930121B,Lycée Jean Jaurès,lycée d'enseignement général et technologique,public,Créteil,93,Montreuil,93048,93105,1 rue DOMBASLE,48.86361437262422,2.449169863763747
0941347D,Lycée Pablo Picasso,lycée d'enseignement général et technologique,public,Créteil,94,Fontenay-sous-Bois,94033,94120,2 avenue Pablo Picasso,48.855748717849075,2.4863687107756998
0930830X,Lycée Albert Schweitzer,lycée d'enseignement général et technologique,public,Créteil,93,Le Raincy,93062,93342,11 allée Valère Lefebvre,48.8987046198562,2.5112323841622235
0770926N,Lycée François Couperin,lycée d'enseignement général et technologique,public,Créteil,77,Fontainebleau,77186,77305,Route HURTAULT,48.39905368078548,2.6868318330322696
0940120V,Lycée Marcelin Berthelot,lycée d'enseignement général et technologique,public,Créteil,94,Saint-Maur-des-Fossés,94068,94100,6 boulevard Maurice Berteaux,48.810377748900095,2.470063843147651
0772188K,Lycée Pierre Mendès France,lycée d'enseignement général et technologique,public,Créteil,77,Savigny-le-Temple,77445,77176,11 avenue de l'Europe,48.596423943238705,2.5770936432589657
0772751X,Lycée polyvalent Charlotte Delbo,lycée polyvalent,public,Créteil,77,Dammartin-en-Goële,77153,77230,2 avenue ROBERT BADINTER,49.06567966934639,2.679086028744148
0772244W,Lycée professionnel Antonin Carême,lycée polyvalent,public,Créteil,77,Savigny-le-Temple,77445,77176,1 place GUSTAVE COURBET,48.59529887019934,2.5776695792323916
0771940R,Lycée polyvalent Simone Veil,lycée polyvalent,public,Créteil,77,Noisiel,77337,77186,1 avenue Pierre Mendès France,48.8407880173237,2.6163182274782533
0772225A,Lycée professionnel Lino Ventura,lycée professionnel,public,Créteil,77,Ozoir-la-Ferrière,77350,77831,Avenue MARCEL PAGNOL,48.759211383960206,2.6912421942760685
